,Bolivar,Boyaca,Caldas,Caqueta,Cauca,Cesar,Cordoba,Cundinamarca,Choco,Huila,La Guajira,Magdalena,Meta,Nariño,Norte de Santander,Quindio,Risaralda,Santander,Sucre,Tolima,Valle del Cauca,Arauca,Casanare,Putumayo,San Andres y Providencia,Amazonas,Guainia,Guaviare,Vaupes,Vichada,NN,Antioquia,Atlantico,Bogota
2020-02-29,311.98685,76.92265,923.625,508.70645,1762.9744,39.91719,993.6781,326.32336,2498.1665,1128.4337,0.125,161.9086,158.26219,2609.667,6.67069,1122.8501,1508.26,95.95591,561.0822,1054.3317,1703.5679,0.125,2.4,1342.3871,,83.19946,0.125,32.10548,0.125,0.125,1541.775,1023.14026,446.97998,301.74167
2020-03-01,850610.06,701500.9,673148.4,703177.9,647877.56,843470.4,786058.56,660829.06,575283.4,730757.8,805321.25,880534.94,772586.25,554056.25,700984.06,591517.75,550913.06,767420.56,865364.44,679980.25,619682.8,701449.75,708093.25,618134.75,,743905.44,763911.06,676267.06,757183.25,766663.7,744772.56,718554.94,927796.3,669211.75
2020-03-02,858937.0,702343.06,724408.2,528028.8,643435.0,847126.6,770105.9,676931.2,571857.56,714861.5,872041.6,872250.44,704235.75,614691.8,740457.44,633870.4,680226.25,783073.0,865540.94,726825.75,602937.1,605440.25,681934.06,514752.06,,468047.72,694689.44,643826.94,643834.06,750586.8,724414.94,702121.94,927621.7,579448.3
2020-03-03,855243.0,729419.2,827250.44,662730.8,622000.9,861269.6,783325.94,656169.0,624443.2,766237.8,835333.3,869933.3,691571.3,541307.75,816104.9,783892.4,763536.0,804193.2,851367.2,779953.1,589194.2,724288.94,746100.3,667896.5,,719909.3,646295.3,644464.25,677884.75,783033.3,824978.8,739551.0,928688.1,572739.3
2020-03-04,883412.94,857906.1,878394.44,716263.06,723805.4,909531.8,814806.4,792929.3,602508.0,735160.9,924984.7,898452.7,813126.25,689211.75,909578.4,816854.06,771632.44,841884.3,899272.2,790240.25,654838.75,887412.56,890907.3,715541.0,,522795.84,749332.9,768665.25,610744.94,886896.44,769545.2,777011.1,938268.5,727209.44
2020-03-05,892475.2,1018146.0,943077.7,697418.2,701788.7,894448.0,793714.25,970943.7,651904.5,858690.5,891459.06,895515.9,910141.1,555835.56,957443.9,809105.0,786127.9,937757.4,883993.56,913483.7,698675.25,945354.7,949824.7,583749.6,,584780.56,816945.94,779017.9,700730.1,916736.9,814070.5,841159.06,959042.8,924317.94
2020-03-06,914586.2,964441.6,902825.56,763864.94,466862.06,904771.0,864800.3,937328.3,791330.06,781243.75,858714.6,916390.1,928513.44,387726.28,958378.56,832767.5,797272.4,933562.1,899827.5,867474.2,673406.56,938442.3,949627.25,587040.9,,720052.3,798371.25,860693.5,822308.44,812542.94,680867.2,898361.1,956711.2,895899.0
2020-03-07,812062.8,785065.94,732706.7,674157.44,512731.2,810740.8,730600.0,710673.6,549089.94,657840.8,793834.06,820289.56,814766.75,531211.94,860303.06,641155.1,606133.0,834705.2,803726.4,711471.75,475218.94,781943.4,790264.9,572896.06,,296760.12,656887.25,793365.2,473842.66,800651.3,683604.25,729365.3,901839.9,646379.25
2020-03-08,839782.94,695918.4,742127.1,625342.9,674106.0,820790.25,772846.1,654911.7,680044.25,724330.94,755931.1,840908.44,783056.4,706543.0,741316.4,696811.0,707674.0,743934.8,845074.8,731448.6,668913.1,684845.0,777632.7,688150.1,,549890.8,623650.06,691076.44,571446.6,742501.4,709370.75,732223.0,910851.5,599076.7
2020-03-09,861542.7,619737.7,728869.56,469308.88,678128.56,832096.1,849350.4,611243.7,730573.56,552163.44,835031.06,890545.06,533248.44,650902.5,659681.4,722535.56,719268.6,754272.8,886073.56,687043.1,732343.25,468667.66,578000.94,448382.7,,572795.6,556293.25,556236.6,659372.1,603061.06,606507.3,759126.2,956864.4,511143.4
