,Bolivar,Boyaca,Caldas,Caqueta,Cauca,Cesar,Cordoba,Cundinamarca,Choco,Huila,La Guajira,Magdalena,Meta,Nariño,Norte de Santander,Quindio,Risaralda,Santander,Sucre,Tolima,Valle del Cauca,Arauca,Casanare,Putumayo,San Andres y Providencia,Amazonas,Guainia,Guaviare,Vaupes,Vichada,NN,Antioquia,Atlantico,Bogota
2020-02-29,13.986956,3.0654109,10.351961,73.48686,87.8194,1.5907223,39.59863,12.191407,183.55147,32.321262,0.0040473226,5.8472605,21.482658,142.99545,0.24090908,2.7966375,9.391407,4.540878,9.782254,39.389725,61.52363,0.0046699876,0.16139477,55.166595,0.0,14.712733,0.014632627,2.91868,0.010896638,0.020080946,1.9200187,110.85081,2.783188,1.1273038
2020-03-01,183045.34,134184.97,36214.207,487583.4,154909.72,161341.28,150359.4,118504.836,202889.5,100467.836,125160.734,152640.69,503383.8,145724.38,121515.55,7071.6943,16465.645,174318.19,72419.03,121939.18,107421.984,125789.25,228565.1,121933.414,0.0,631439.56,429236.22,295098.34,316828.8,591180.7,4451.941,373684.38,27729.9,12000.809
2020-03-02,184837.23,134346.08,38971.9,366135.06,153847.47,162040.67,147307.92,121392.41,201681.27,98282.336,135530.25,151204.55,458849.5,161672.39,128358.26,7578.0264,20330.549,177873.61,72433.81,130339.875,104519.11,108572.1,220121.2,101540.125,0.0,397286.84,390341.1,280942.7,269400.03,578783.75,4330.251,365138.38,27724.684,10391.104
2020-03-03,184042.34,139525.27,44504.63,459537.4,148722.5,164745.97,149836.69,117669.164,220227.06,105345.8,129825.15,150802.88,450597.88,142371.36,141471.72,9371.565,22820.504,182671.02,71247.67,139867.05,102136.78,129884.94,240833.39,131749.44,0.0,611071.3,363148.72,281220.72,283647.94,603803.5,4931.3804,384603.34,27756.555,10270.793
2020-03-04,190104.3,164102.6,47256.09,496656.62,173064.28,173977.69,155858.34,142194.05,212490.98,101073.18,143758.52,155746.73,529797.8,181272.12,157675.34,9765.627,23062.488,191232.52,75256.65,141711.83,113516.26,159137.47,287575.53,141147.81,0.0,443757.97,421044.75,335417.56,255554.53,683893.25,4600.021,404084.5,28042.895,13040.866
2020-03-05,192054.42,194753.73,50735.934,483589.62,167800.03,171092.4,151823.78,174116.95,229911.98,118056.59,138548.05,155237.64,593008.5,146192.38,165972.83,9672.986,23495.727,213009.89,73978.05,163812.77,121115.305,169528.11,306593.5,115150.6,0.0,496371.66,459036.16,339935.06,293207.16,706903.44,4866.175,437444.62,28663.795,16575.564
2020-03-06,196812.56,184481.0,48570.44,529663.7,111628.29,173067.03,165421.33,168088.73,279084.25,107408.87,133459.0,158856.17,604979.06,101977.32,166134.86,9955.875,23828.812,212056.95,75303.12,155562.0,116734.98,168288.56,306529.75,115799.84,0.0,611192.6,448599.06,375575.34,344079.28,626558.6,4069.9407,467192.5,28594.107,16065.936
2020-03-07,174750.25,150169.52,39418.34,467460.62,122595.76,155080.69,139751.12,127443.34,193651.66,90442.875,123375.45,142197.14,530866.75,139716.02,149133.47,7665.1167,18116.057,189601.78,67260.8,127586.48,82379.17,140223.95,255089.19,113009.63,0.0,251895.02,369100.28,346195.72,198270.38,617388.94,4086.3018,379306.28,26954.117,11591.359
2020-03-08,180715.44,133117.14,39925.145,433612.56,161181.02,157002.98,147832.08,117443.68,239836.28,99584.234,117484.695,145771.44,510205.6,185830.48,128507.14,8330.492,21150.904,168983.47,70721.07,131168.86,115956.05,122811.56,251011.69,135744.69,0.0,466756.6,350424.56,301560.6,239110.9,572549.0,4240.323,380792.4,27223.459,10743.095
2020-03-09,185397.97,118545.086,39211.914,325418.66,162142.81,159165.6,162466.03,109612.81,257656.86,75913.88,129778.18,154375.94,347441.56,171196.28,114355.75,8638.034,21497.443,171331.69,74152.12,123205.734,126951.66,84045.01,186572.69,88448.09,0.0,486198.62,312577.2,242721.42,275901.62,465025.44,3625.4482,394783.47,28598.686,9166.209
2020-03-10,178343.95,114965.37,35939.777,294757.78,125853.91,147824.42,146045.12,117148.04,207128.06,90596.07,112097.22,141481.02,362915.5,158248.88,116898.234,7696.7534,18084.754,173101.6,66779.75,123805.266,100463.63,95950.52,185304.81,109386.54,0.0,343871.72,423690.5,229935.53,250353.36,516883.22,3174.3057,368230.6,27627.37,12145.3545
2020-03-11,161561.62,132714.61,31793.89,495381.22,147378.56,128283.375,131701.1,132030.25,178428.97,97865.48,117624.516,132515.23,505981.03,164467.8,104575.914,8049.9546,16316.452,161367.06,62557.188,135884.4,101668.74,106385.81,216200.73,129440.19,0.0,602068.8,434998.3,316112.97,310196.25,552529.75,4335.7324,293148.38,27186.018,13424.717
2020-03-12,161060.4,112771.71,37548.688,487632.44,165873.61,145277.12,140845.75,110524.35,228240.22,98767.99,132826.14,138585.77,353578.38,163049.56,111362.945,7626.2456,18441.977,175350.28,61281.06,123064.086,125975.42,101208.57,154573.98,146916.94,0.0,664884.2,366308.06,271726.25,293223.2,494670.06,4510.7334,349510.88,26681.203,10371.14
2020-03-13,171738.2,111260.22,34211.07,357408.5,97861.32,152624.0,127157.65,117964.86,211712.67,79265.33,132391.48,148184.98,382158.25,102833.66,102796.734,5259.04,14331.397,154354.73,65129.695,107909.22,79391.67,94571.85,191177.8,117018.3,0.0,431867.5,212617.25,178651.97,154626.5,419192.1,3255.0098,321685.16,27863.344,11527.795
2020-03-14,173333.27,101509.41,30592.215,326209.66,122053.5,155562.53,148240.12,79667.81,187345.1,79428.414,135365.23,148709.56,280460.53,116976.68,116115.02,4476.3564,14306.829,136014.88,68898.48,92244.55,68447.945,122307.09,189604.66,94559.29,0.0,545367.6,316798.03,180933.19,239433.2,383780.5,4272.794,375739.78,28446.932,5429.673
2020-03-15,173568.22,113947.8,40205.367,441135.6,173213.28,166190.31,149396.12,122911.6,213185.83,103903.336,129398.914,146484.98,475401.72,192263.75,123816.28,7993.4434,17255.758,155527.62,66781.16,147186.64,127059.77,123706.44,212629.08,152690.72,0.0,517782.3,333038.44,239381.45,212402.12,486989.4,4676.649,386035.12,28182.88,12047.831
