,Bolivar,Boyaca,Caldas,Caqueta,Cauca,Cesar,Cordoba,Cundinamarca,Choco,Huila,La Guajira,Magdalena,Meta,Nariño,Norte de Santander,Quindio,Risaralda,Santander,Sucre,Tolima,Valle del Cauca,Arauca,Casanare,Putumayo,San Andres y Providencia,Amazonas,Guainia,Guaviare,Vaupes,Vichada,NN,Antioquia,Atlantico,Bogota
2020-02-29,302.96344,290.17892,294.9976,297.9272,295.01224,302.12988,302.4958,294.97968,301.4054,294.95453,298.99243,300.50583,300.88696,296.47668,296.14005,294.20074,295.34186,298.89233,304.41626,294.78983,297.18433,301.57556,302.62054,297.52386,,299.30038,299.44864,299.443,299.0108,302.627,287.58215,298.5921,299.6236,289.17395
2020-03-01,307.07635,294.5111,299.37628,303.3532,299.35715,306.74976,307.55908,299.21286,304.85828,299.79248,302.2258,306.0315,305.84973,299.9971,300.09665,297.71423,298.7421,302.59833,308.25375,299.21344,300.68286,305.42493,306.98853,302.48383,,305.40836,306.43082,305.28638,305.28696,307.32782,292.38406,302.85742,303.9636,293.36612
2020-03-02,307.575,295.03363,299.98547,300.96317,298.6773,306.7707,307.8075,299.71585,304.74713,299.05002,302.5903,306.03888,304.174,299.72336,300.55038,297.99554,299.16364,303.32114,308.7477,299.0187,299.96066,305.30093,306.79187,300.10403,,302.54535,304.43292,303.413,303.13376,307.2091,291.30707,303.16833,304.3227,293.7191
2020-03-03,307.88916,295.5896,300.73904,303.0325,298.26324,307.8664,308.02478,299.62897,305.09106,299.49527,303.65,307.2452,304.16113,299.36813,301.2907,299.42615,299.60672,304.11676,308.91852,299.64844,299.71017,305.73352,306.81195,302.4926,,305.10992,304.7503,304.48654,304.60074,307.31015,292.01904,303.39752,305.27057,293.5715
2020-03-04,307.87146,295.2542,301.05652,304.70825,299.24615,307.47546,308.2871,300.25977,305.1108,300.22662,303.87134,306.90097,305.8688,300.45438,301.36276,299.58755,299.91306,303.72827,308.71976,300.22922,300.9554,305.94473,307.17053,303.7971,,303.7214,304.35275,305.68988,303.40588,308.06696,292.0046,303.39294,305.10385,295.1884
2020-03-05,308.06793,296.09488,302.1557,302.59818,298.61578,307.90472,308.08847,300.90347,305.81277,300.32654,304.2367,307.19818,305.71356,299.20584,302.0744,299.96613,300.5606,304.61777,308.8933,301.16522,301.18875,306.94318,307.55554,300.61832,,302.37726,305.3442,304.85638,303.5511,308.67053,291.48837,304.20026,305.20203,295.00308
2020-03-06,308.48822,295.95612,300.7735,303.93228,298.26996,307.94373,308.49454,300.6349,305.70834,300.86966,303.75272,307.29303,306.61694,298.37506,302.24323,299.2177,299.7465,304.37033,308.90967,300.34158,300.70258,306.7469,307.6606,301.72025,,304.25378,306.3755,306.35895,305.1642,308.5969,292.08292,304.16095,305.20255,294.60632
2020-03-07,305.96228,294.90582,299.1914,303.2436,297.0738,305.5619,305.76086,299.20612,303.3812,299.15237,302.0649,304.42737,306.55533,298.58377,301.21252,297.32724,298.21393,302.94196,306.83817,298.616,298.29843,306.41025,307.67444,301.43143,,300.64685,304.8108,305.9365,302.452,308.55292,291.7492,302.3083,302.77203,292.94046
2020-03-08,307.26144,294.7168,299.0658,302.59384,298.59155,306.82172,307.03308,298.79587,305.6894,299.4773,302.16687,305.40424,305.257,299.95007,300.57846,297.52148,298.971,302.66898,308.22705,298.9446,300.79993,306.68143,307.63574,303.15192,,303.07602,304.7307,305.09537,303.58386,307.688,292.0552,302.7496,302.97092,292.6674
2020-03-09,308.04633,293.5343,300.3445,299.9991,298.91748,306.65207,309.30103,298.14706,306.82504,298.58325,303.2072,306.8721,301.8688,300.08505,299.39722,299.02734,299.84296,303.2568,309.62515,299.05923,301.13248,303.1436,304.40317,299.84653,,303.93338,303.68167,302.19455,304.0131,305.81973,291.42694,303.6744,304.52548,291.07498
2020-03-10,307.53052,293.62402,299.5865,300.79453,297.64478,306.47113,307.85327,299.2374,304.43976,300.03662,302.0425,306.14627,303.51678,298.88745,299.751,297.4956,297.57944,303.3137,308.68478,299.74152,299.53348,304.21432,305.2455,301.2243,,300.24313,305.63452,303.19336,302.7145,306.41998,291.09326,302.97217,303.88834,292.8555
2020-03-11,305.55475,293.79434,298.96378,304.8393,299.38574,304.2865,305.66656,299.6662,303.18698,300.9598,302.16376,304.23,305.84586,300.4671,298.78235,298.25095,298.11963,301.57382,306.54758,300.09445,299.91644,305.21954,306.39056,304.0262,,305.55475,305.49533,305.39334,305.00638,307.67612,294.3104,301.2371,303.20514,293.59317
