,Bolivar,Boyaca,Caldas,Caqueta,Cauca,Cesar,Cordoba,Cundinamarca,Choco,Huila,La Guajira,Magdalena,Meta,Nariño,Norte de Santander,Quindio,Risaralda,Santander,Sucre,Tolima,Valle del Cauca,Arauca,Casanare,Putumayo,San Andres y Providencia,Amazonas,Guainia,Guaviare,Vaupes,Vichada,NN,Antioquia,Atlantico,Bogota
2020-02-29,301.6765,289.10153,294.10492,297.35638,294.27994,300.41388,301.47357,293.92365,300.64722,293.9429,298.33548,299.4066,299.6656,295.87198,295.0446,293.43515,294.55014,297.56665,303.04984,293.76434,296.3888,300.48132,301.0772,296.95087,,298.5905,298.85602,298.80774,298.3566,301.57242,286.83658,297.60065,299.42935,288.53067
2020-03-01,302.2015,289.5774,294.21463,298.21356,294.49023,301.12082,302.12927,294.35028,300.68445,293.9302,299.23428,300.7809,300.10867,295.93335,295.50696,293.34525,294.69305,297.9395,303.1242,293.93243,296.53555,300.63364,301.5954,297.49075,,299.67563,300.26227,299.74908,299.53207,302.3194,287.0626,298.00168,300.6215,288.96716
2020-03-02,302.4337,290.16724,294.482,297.5738,294.30664,301.40424,302.3201,294.49643,300.5598,294.0522,299.0938,301.1112,299.74564,295.97125,295.97128,293.31464,294.7207,298.3938,303.243,293.7227,296.44666,300.73346,302.03577,296.94135,,298.6854,299.72522,299.28107,298.52396,302.46854,286.9633,298.1226,300.8159,289.43918
2020-03-03,302.77753,290.09888,294.57584,298.06708,293.98138,301.78992,302.43604,294.51266,300.62177,294.23505,299.45047,301.58005,299.37964,295.6883,296.23834,293.16608,294.60803,298.71176,303.3841,294.06772,296.29926,300.6459,301.6646,297.73462,,299.60953,299.47897,299.1867,298.9836,301.96252,286.96902,298.30707,301.0278,289.38187
2020-03-04,302.81006,290.4067,295.01804,298.97354,294.75018,301.88464,302.49396,294.9229,300.80368,294.53162,299.78967,301.803,300.30862,296.33688,296.29742,294.102,295.10083,299.02615,303.28452,294.53806,296.86966,300.9538,301.8188,298.42215,,298.85278,300.15485,300.08194,298.7552,302.38095,287.06558,298.46625,301.28116,289.81186
2020-03-05,302.755,289.7757,294.84436,298.42596,294.57578,301.5688,302.51318,294.4387,301.0807,294.4766,299.77557,301.7701,299.89987,296.15866,295.96497,293.91705,295.10858,298.91898,303.23395,294.65442,296.91498,300.55307,301.342,297.458,,298.51166,300.22678,299.86447,298.9043,301.95865,286.757,298.6816,301.2745,289.30228
2020-03-06,302.7174,290.07138,294.68982,298.97064,294.17157,301.50934,302.53625,294.69177,301.3669,294.8764,299.46783,301.54773,300.3357,295.49362,296.24042,293.80313,295.45444,299.01645,303.13803,294.59903,296.8426,300.77444,301.69452,297.59283,,299.3881,300.8689,300.6405,299.66464,302.63608,287.10757,298.75626,300.98236,289.57285
2020-03-07,301.71588,289.74664,293.81506,298.61325,293.6147,300.71844,301.60132,294.60217,300.1055,294.34622,298.82562,300.27753,300.73895,295.3835,296.02127,292.409,293.9313,298.3005,302.54044,293.65497,295.60443,301.24817,302.4178,297.6582,,297.8881,300.05457,300.2579,298.45166,302.84674,286.666,297.77432,299.97552,288.58813
2020-03-08,302.2328,290.01108,293.97247,298.09738,294.06744,301.42773,302.09726,294.2128,300.80597,294.24753,299.11035,300.73172,300.601,295.8688,295.99466,293.12543,294.75244,298.42163,303.1688,293.60336,296.38388,301.80377,302.86044,297.90414,,298.74313,299.42075,299.90048,298.63495,302.57187,286.7162,298.01822,300.14374,288.8442
2020-03-09,302.765,289.1388,294.93472,297.1723,294.48975,301.33243,303.1917,294.08054,301.90118,294.1796,299.62234,301.664,298.66165,296.06033,294.97595,293.87604,295.4134,298.42365,304.08902,294.4559,297.19183,299.68024,300.5392,296.55453,,299.08524,299.41956,298.69846,298.94452,301.59363,286.69284,298.6219,301.03592,288.62875
