,Bolivar,Boyaca,Caldas,Caqueta,Cauca,Cesar,Cordoba,Cundinamarca,Choco,Huila,La Guajira,Magdalena,Meta,Nariño,Norte de Santander,Quindio,Risaralda,Santander,Sucre,Tolima,Valle del Cauca,Arauca,Casanare,Putumayo,San Andres y Providencia,Amazonas,Guainia,Guaviare,Vaupes,Vichada,NN,Antioquia,Atlantico,Bogota
2020-02-29,300.3351,287.8698,292.99646,296.7955,293.63367,298.7398,300.3708,292.96112,299.71173,292.8377,297.54114,298.31467,298.38605,295.2953,293.9895,292.6967,293.6579,296.01578,301.5217,292.5312,295.61273,299.44308,299.5704,296.36444,,297.7635,298.2713,298.24292,297.6409,300.6714,286.09256,296.3392,299.18073,287.8217
2020-03-01,298.16534,285.65674,290.4876,294.99402,291.69385,295.73306,298.80493,290.6293,297.85693,290.21017,296.33154,296.23187,296.09146,293.26633,291.32333,290.64874,292.29807,293.99905,299.23874,289.76807,294.07867,295.91608,296.78683,294.7232,,296.25745,297.04266,296.68604,296.3741,298.03427,284.21024,294.42737,298.3979,286.00824
2020-03-02,298.08514,286.29324,289.50436,295.27402,290.97495,296.19443,298.3631,290.5724,296.877,289.99606,296.04288,297.0258,296.26816,293.26575,291.65878,289.4856,290.79654,293.90784,299.08548,289.4514,293.38092,296.74884,298.02762,294.79507,,296.47855,296.89807,296.45807,296.07874,298.83893,283.3537,293.66318,298.5515,286.3046
2020-03-03,298.468,286.02194,288.7093,294.41367,290.24805,296.2337,298.55945,290.53375,297.59875,289.70392,296.64938,297.18973,295.40433,292.91733,291.57745,288.93533,290.21454,293.9438,299.2815,289.37836,293.71146,295.9171,297.09592,293.9949,,296.4481,296.2658,295.8936,295.8639,297.16837,283.06396,294.20923,298.8238,286.3622
2020-03-04,298.41998,286.00656,290.06314,295.28848,291.32828,295.9218,298.63373,291.04617,298.22705,290.04407,296.036,296.9459,295.4015,293.6683,291.30563,289.70273,291.32806,294.4584,299.16525,290.24847,294.1464,295.68457,296.49258,295.13467,,296.33972,297.026,295.5375,296.26184,297.04984,283.58197,294.6579,298.56055,286.62463
2020-03-05,298.01697,283.40735,288.28867,295.60437,291.23477,295.63367,298.43805,288.054,297.88608,289.21677,296.77475,297.38797,294.28723,294.2363,289.8787,289.6934,291.21783,293.34027,298.84393,288.6313,293.77454,294.63348,295.09683,295.5297,,296.50082,296.27826,296.02512,296.26627,296.3755,282.96036,294.05145,299.01993,283.75345
2020-03-06,297.9676,283.69064,288.49542,295.29056,290.9584,295.26132,298.97217,288.29315,298.41614,289.67227,296.0202,296.9942,294.29614,293.497,290.4346,289.2591,292.09015,293.68643,299.22006,289.26617,294.03845,294.8027,295.06674,294.93958,,296.36737,297.4263,296.23856,296.35297,297.51895,283.62955,294.01663,298.41876,284.0823
2020-03-07,297.82855,284.7806,288.9313,295.52646,291.15305,296.02182,298.27466,290.13174,297.2538,290.32266,296.35785,296.98563,295.43427,293.31693,290.64026,289.27686,291.23746,293.64105,298.74448,289.1518,293.60266,296.25867,296.87808,295.0356,,296.43677,297.55243,296.3808,296.68256,298.1057,283.41934,293.52682,298.2649,284.46725
2020-03-08,298.29584,286.40665,289.53198,295.1947,290.2199,296.5827,298.8889,290.68494,297.59418,289.6531,296.35645,297.16333,296.3392,292.55933,292.14398,288.88715,291.0947,294.99927,299.23392,288.6336,293.36166,297.55173,298.49753,294.1983,,296.5834,297.0277,296.4604,296.22073,298.8491,283.06577,294.27112,298.2556,286.157
2020-03-09,298.7201,285.94073,290.87854,294.95456,290.81348,296.4042,298.99332,290.8405,298.25613,290.46817,296.3817,297.34528,295.70667,292.67905,291.8017,289.92108,291.50467,294.85605,299.48956,290.2926,294.10287,297.22565,297.63416,293.78812,,296.49213,296.56143,295.96585,296.04822,298.51605,283.03445,294.90808,298.70956,286.45215
2020-03-10,298.80072,286.03326,290.06223,294.53104,290.70007,296.2494,298.87988,290.31937,297.52432,290.28204,296.03442,297.3908,295.4798,292.98572,291.26636,289.93704,291.79388,294.72137,299.89578,289.74884,293.76724,295.83282,296.78595,293.8477,,296.11356,296.59372,295.28168,295.81653,297.74036,283.02118,294.63724,298.7746,286.31223
