,Bolivar,Boyaca,Caldas,Caqueta,Cauca,Cesar,Cordoba,Cundinamarca,Choco,Huila,La Guajira,Magdalena,Meta,Nariño,Norte de Santander,Quindio,Risaralda,Santander,Sucre,Tolima,Valle del Cauca,Arauca,Casanare,Putumayo,San Andres y Providencia,Amazonas,Guainia,Guaviare,Vaupes,Vichada,NN,Antioquia,Atlantico,Bogota
2020-02-29,2.5547857,0.7414589,1.0388149,0.86195505,0.67727757,1.4779944,3.828164,1.0284456,2.0085566,1.017344,4.7849774,3.951355,1.2882917,0.8769422,1.035373,0.27716506,0.76475984,1.246026,3.5056965,1.0613053,0.9335009,1.6296208,1.4304534,0.7682992,,1.1795061,1.4496237,1.6075921,1.5309436,1.9497998,0.87151796,1.7903646,7.982312,1.0797321
2020-03-01,2.0745788,1.0747004,0.9571174,1.002941,1.0134776,1.4269828,2.7875142,1.1523304,1.6530036,1.2351555,5.4787564,3.2048163,1.374942,1.245145,1.1963108,0.68585,0.78644735,1.0831999,2.3816464,1.1654745,1.0523218,1.8186092,1.668254,0.9149789,,0.9687242,1.3291719,1.2403792,0.9337657,1.6841507,2.0568364,1.6168317,7.1063337,1.1010159
2020-03-02,1.88855,1.0738065,0.95468456,1.2409897,1.1629035,1.256839,2.5281148,1.1585134,1.3302557,1.2466044,5.8502393,2.974629,1.6134092,1.4138149,1.2768619,0.7627549,0.76199234,1.0999893,2.2599213,1.0934132,1.1764426,1.8211067,1.7612289,1.2371465,,1.1839441,1.2712978,1.5053567,1.4144207,1.8188652,1.8973123,1.4038159,6.8556495,0.90881777
2020-03-03,1.9001977,1.0031884,0.93154514,0.9093424,1.2739218,1.2885146,2.4146452,1.0578393,1.1674616,1.310494,6.125559,3.009957,1.3212134,1.666872,1.3038237,0.6833951,0.82244265,1.1490852,2.200174,1.1155808,1.1560092,1.7903327,1.6883024,0.9690199,,0.8544721,1.1885102,1.2794087,1.0060658,1.7820002,1.8115729,1.3661833,6.6157136,0.9233856
2020-03-04,1.8100253,1.2030182,0.97975487,1.0686054,1.2279035,1.3792703,2.490756,1.3238221,1.178786,1.2747343,6.7419553,3.044938,1.8819996,1.469286,1.4137702,0.71889466,0.8395467,1.1312921,2.1656392,1.1874115,1.2640885,2.2671163,2.5021398,0.90731144,,0.9851306,1.3464458,1.3877763,0.8477687,2.3257601,2.2939785,1.4020158,6.532393,1.098923
2020-03-05,1.7544229,1.3180244,1.1326032,1.1620811,1.2310407,1.2628995,2.479738,1.444996,1.4147501,1.4392546,6.7746115,2.8902047,1.8012962,1.4995861,1.3220638,0.90753436,0.9683491,1.3346311,2.0797539,1.2944247,1.132488,2.0453782,2.1941633,1.1802195,,0.81854814,1.3580137,1.3917222,1.0571932,1.9839355,2.2733605,1.5488192,6.1948214,1.073366
2020-03-06,1.9769588,1.0247552,1.0864078,1.2546184,1.2081827,1.2038648,2.9677594,1.0818729,1.7128834,1.1573673,6.23281,2.9527087,1.7820528,1.6911259,1.1969999,0.9409437,0.9141458,1.1217461,2.5110333,1.1528677,1.2399544,2.0115983,2.130564,1.1102775,,0.969008,1.5750355,1.5214136,1.3369871,2.022046,1.5656496,1.7061769,5.8570566,1.0756519
2020-03-07,2.6635182,0.9536268,0.96678555,1.4761659,1.2004387,1.5431726,3.6484976,0.9952505,1.7149003,1.0181904,5.1251807,3.297008,1.5570683,1.3457081,1.205678,0.7045841,0.8420992,1.1781265,3.1555152,1.0873207,1.4983643,1.9728119,2.1192026,1.3062136,,1.3871406,1.7362007,1.7328091,1.590923,1.7894533,1.3629721,1.9328705,7.3443694,1.0293074
2020-03-08,2.3477907,1.0261285,1.0436059,1.0325364,1.1283022,1.6482924,3.2038598,1.056835,2.2173703,0.98263186,4.928713,3.4893336,1.5681736,1.4178402,1.4107258,0.6255034,0.8367016,1.0481788,2.5448527,1.1497214,1.1765758,1.990662,2.1019397,1.0008203,,0.9054154,1.4066225,1.3474588,1.1281033,2.0880833,1.929337,1.9272766,8.13431,1.0313219
2020-03-09,2.1692896,1.0584524,0.95064354,1.2716144,1.0875127,2.108477,2.6678624,1.1311013,1.9459761,1.1972406,6.1391068,3.336215,1.7828548,1.3561447,1.4748708,0.7353921,0.81364363,1.0667727,2.338616,1.0994031,1.1717466,2.114395,2.3576314,1.3583875,,1.0757638,1.2350211,1.4475008,1.0452735,2.5907247,1.8675138,1.6381059,7.560069,1.1077236
2020-03-10,2.116654,1.0431285,0.9948639,0.94869864,1.1911787,1.4424582,2.9920175,1.1320668,1.3354282,1.2855076,5.758549,3.080461,1.1869065,1.6481595,1.2223076,0.77317154,0.94250566,1.2467918,2.602322,1.1110795,1.3705957,2.0868223,1.8301872,1.1235868,,1.1340141,1.3265816,1.0679524,0.9530815,1.9764428,1.3159117,1.5086107,6.9094763,1.2321132
2020-03-11,2.1581872,0.9726515,0.94450593,0.9175543,1.142939,1.1683302,3.0283048,1.2447124,1.2457232,0.9818774,4.895933,2.7873652,1.3029245,1.3698639,0.93440235,0.72914875,0.9258025,1.1767554,2.6273825,0.9819545,1.3450347,1.5656071,1.7545756,0.80073667,,1.1923285,1.1522079,1.0892092,1.0975674,1.5912888,1.0223936,1.4522469,6.4627204,1.1805948
2020-03-12,1.9729612,0.89032614,0.7764725,0.99082,1.1313838,1.2060238,3.0555892,1.100528,1.5523616,1.1145108,4.5236626,2.8526912,1.1793156,1.5127753,0.9402758,0.75172013,0.8887429,1.0757301,2.39533,1.0095185,1.2603164,1.6845818,1.5805231,0.8491371,,0.8529851,1.3825688,1.1520003,1.1247096,1.5191001,1.6038475,1.6301087,5.6413374,1.0473416
2020-03-13,2.401342,0.9011048,0.9177456,1.2595718,1.1871166,1.3971651,3.3198776,1.2291217,1.5135077,1.0172828,4.54005,3.0377452,1.3977451,1.4821678,0.9988577,0.7017325,0.96951467,1.0717415,2.9251387,1.0530994,1.3335901,1.5433635,1.3880905,1.1368028,,0.96799403,0.89423615,1.2727184,0.9990376,1.418548,1.0352306,1.6996155,6.3970327,1.2614632
2020-03-14,2.2438967,0.8969761,0.9147159,1.1103973,1.1586382,1.3556316,2.853557,0.99193245,1.3668774,0.84170866,4.4906163,2.9476132,1.1735729,1.4120342,1.1418352,0.80772936,1.0726528,1.0279574,2.5484874,0.99840194,1.4519013,1.4050994,1.333388,1.0969869,,1.0753393,1.1383141,1.1859702,1.0027558,1.4939828,0.9395795,1.5992581,6.851331,0.9371395
2020-03-15,2.2232623,0.9392937,1.0827602,1.349341,0.96828556,1.3765342,2.7509341,1.1630628,1.3294218,0.9662329,4.592436,3.1095066,1.3899592,1.2906495,1.2211709,0.64973855,0.90415585,1.1612761,2.5841434,1.089504,1.0912069,1.7998532,1.7397933,1.1287686,,1.4285043,1.3214009,1.427778,1.5437458,1.6436809,0.96832305,1.4920886,6.7338524,1.1580616
2020-03-16,2.3845055,1.0387629,1.1852131,1.4796097,1.0900165,1.4918152,2.9958034,1.2220917,1.7118796,1.0861365,4.9200354,3.3192704,1.6952753,1.3774819,1.4292401,0.7659641,0.87490416,1.2312001,2.5227716,1.1554699,1.3027086,2.42343,2.2369013,1.0504496,,1.6165664,1.5128065,1.492788,1.462637,2.7650492,0.84176683,1.7659186,7.5062447,1.0330725
2020-03-17,2.3613899,1.0921371,1.1271032,1.4990493,1.1658026,1.4979076,2.9962342,1.3816452,1.5473396,1.1111071,5.056621,3.3420992,2.0899234,1.5751681,1.4104087,0.7285284,0.9145479,1.2818407,2.547212,1.0534047,1.4116617,2.807345,2.7558868,1.1959537,,1.5251535,1.7081196,1.9127023,1.6542515,3.2222612,0.67592883,1.7549832,7.298845,1.1925497
2020-03-18,2.306809,0.9728148,1.0095093,1.2966932,1.006485,1.5850046,2.6680675,1.1450046,1.5393726,0.967443,4.739632,3.2999501,1.965124,1.2117372,1.3768004,0.640953,0.8694717,1.1533616,2.3892894,1.006509,1.1344173,2.6013496,2.6307955,1.0840608,,1.2943487,1.7130922,1.5306594,1.4844079,2.9844327,0.62341857,1.6651113,7.4939423,1.1051652
2020-03-19,2.1247635,0.9426431,0.9723802,1.3525734,1.0449915,1.7649153,2.61748,1.0657566,1.3806028,0.91736335,5.5565186,3.2858384,2.0812585,1.359549,1.4342107,0.67428315,0.95416844,1.1486864,2.3951056,0.9600128,1.1946772,2.4872568,2.6786015,1.0818481,,1.2040575,1.5551425,1.6927971,1.3852451,2.421884,1.0693544,1.4988093,7.2532387,1.0982921
2020-03-20,2.1913598,1.164716,1.1521492,1.8093425,1.2215831,1.5117478,3.079483,1.4768349,1.1639249,1.2453598,5.152308,2.9414687,2.1035194,1.4937688,1.0254161,0.75265336,0.9957819,1.204809,2.690771,1.2430946,1.2861706,2.7459173,2.8105438,1.3636684,,1.9272873,1.6780399,2.0895357,1.9325261,2.9012883,2.3172867,1.4491246,6.556958,1.2624763
2020-03-21,1.9312861,1.1725714,1.1345677,2.3197236,1.256789,1.3970041,2.3686981,1.6572827,1.2648404,1.3467788,4.6883793,2.9489617,2.7571092,1.4847076,1.1501342,0.88911676,0.8782522,1.1371872,2.1258285,1.2514358,1.2289695,2.8257115,3.0384202,1.6926403,,2.0974476,1.9964325,2.703007,2.1453574,3.4613383,2.1036618,1.295611,6.3859334,1.384511
2020-03-22,2.1268773,1.0145814,0.9907468,1.9455189,1.1335372,1.7369508,2.4692073,1.150193,1.4129474,0.9535798,5.0871854,3.1883554,2.6282928,1.3631662,1.33266,0.8784112,0.9322673,1.2217584,2.466841,0.9015111,1.1809691,2.7487304,3.0444548,1.494056,,1.7606874,1.6735485,2.4420881,1.7963462,3.2969553,0.74039334,1.3981788,7.0298133,1.1470995
2020-03-23,2.069622,0.86548394,0.88277966,1.4914949,1.0321678,1.4009088,2.5535312,1.0473957,1.4278462,0.90226346,5.147286,3.1087098,2.1450567,1.3682227,1.1252018,0.66395235,0.86464775,1.059239,2.3847091,0.8075138,1.1400919,2.3354888,2.7039409,1.328396,,1.5716242,1.3957635,1.7996626,1.5461079,2.4727523,1.2956231,1.4302576,6.946753,0.98278207
2020-03-24,1.993291,0.867431,0.8427499,0.8489556,1.0250013,1.3211644,2.7282057,0.9484542,1.4327408,0.8890029,5.570438,2.882476,1.0995631,1.2646819,1.0243423,0.53654623,0.762763,1.0229874,2.543549,0.87247425,1.2416639,1.8479736,1.7436358,0.9670495,,1.0814009,0.8574445,1.0123515,1.038937,1.4398153,1.3328235,1.3539778,6.044217,1.01317
2020-03-25,2.186603,0.8933057,0.9303056,0.78888214,1.1265695,1.3557199,2.7013764,0.9933514,1.3988863,0.78408724,5.1479187,3.0546215,1.4681679,1.6427068,1.0723066,0.700324,0.8024839,1.0237586,2.4722214,0.9264144,1.2793367,2.13816,2.1549191,0.6967115,,0.6684522,1.1746134,0.9887443,0.7111648,1.8511444,0.9440914,1.5389506,6.8187356,1.0315688
2020-03-26,2.4747322,0.9449861,0.9043715,0.8912735,1.0975215,1.337403,3.4915316,1.0609163,1.5217885,0.9091884,5.117145,3.1079278,1.5346714,1.5133733,1.0794681,0.68390274,0.8439909,1.1476078,3.0202537,0.9639933,1.3413155,2.2007508,2.4548616,0.7707567,,0.9098661,1.2822597,1.1193599,1.0087388,1.8108473,0.50638384,1.7364348,6.8817263,1.1983098
