,Bogota,Valle del Cauca,Antioquia,Bolivar,Huila,Meta,Risaralda,Norte de Santander,Caldas,Cundinamarca,Atlantico,Santander,Quindio,Tolima,Cauca,Magdalena,Cesar,San Andres y Providencia,Casanare,Nariño,Boyaca,Cordoba,Sucre,La Guajira,Choco,Amazonas,Caqueta,Putumayo,Arauca,Vaupes,Guainia,Vichada,Guaviare
2020-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-29,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
2020-03-01,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-02,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-03,,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,
2020-03-04,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-05,4.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-06,3.0,2.0,2.0,2.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
2020-03-07,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-08,2.0,1.0,1.0,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
2020-03-09,3.0,6.0,1.0,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
2020-03-10,5.0,2.0,5.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-11,9.0,2.0,,1.0,,,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,
2020-03-12,5.0,6.0,,2.0,,,,,,2.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,
2020-03-13,17.0,10.0,4.0,3.0,,1.0,1.0,,2.0,,2.0,,2.0,1.0,,,,,,,1.0,,,,,,,,,,,,
2020-03-14,20.0,5.0,5.0,2.0,2.0,,,2.0,1.0,,3.0,,,,2.0,1.0,2.0,,,,,,,,,1.0,,,,,,,
2020-03-15,37.0,13.0,7.0,4.0,1.0,,1.0,3.0,,3.0,3.0,,,,1.0,1.0,5.0,,,2.0,,1.0,,,,,,,,,,,
2020-03-16,36.0,12.0,5.0,6.0,1.0,,,2.0,2.0,6.0,3.0,,1.0,1.0,,1.0,2.0,,,,,,,,,,,,,,,,
2020-03-17,44.0,12.0,8.0,5.0,,,2.0,,,,2.0,1.0,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,
2020-03-18,29.0,12.0,5.0,6.0,4.0,,2.0,1.0,,5.0,2.0,,2.0,,2.0,2.0,1.0,,2.0,,2.0,,,,,,,,,,,,
