,Bogota,Valle del Cauca,Antioquia,Bolivar,Huila,Meta,Risaralda,Norte de Santander,Caldas,Cundinamarca,Atlantico,Santander,Quindio,Tolima,Cauca,Magdalena,Cesar,San Andres y Providencia,Casanare,Nariño,Boyaca,Cordoba,Sucre,La Guajira,Choco,Amazonas,Caqueta,Putumayo,Arauca,Vaupes,Guainia,Vichada,Guaviare
2020-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-01,,10.704060527839234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-02,,6.6765115135143045,,10.704060527839234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-04,10.704060527839234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-05,16.38057204135354,5.027549014324933,,,10.704060527839234,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-06,6.67651151351431,6.676511513514303,16.38057204135354,10.704060527839234,6.6765115135143045,,,,,,10.704060527839234,,,,,,,,,,,,,,,,,,,,,,
2020-03-07,6.148146921754446,3.158109517581618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-08,3.003411810969432,2.869439496743317,5.027549014324933,,5.027549014324933,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-09,3.5525017951153677,8.834621031095919,4.124009718398938,,4.124009718398938,,,,,,10.704060527839234,,,,,,,,,,,,,,,,,,,,,,
2020-03-10,4.4317144124617975,2.86943949674332,10.704060527839241,,9.229013308629671,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-11,5.623383616188081,2.648962499189369,,4.124009718398936,,,,,,10.704060527839234,,,,10.704060527839234,,10.704060527839234,,,,,,,,,,,,,,,,,
2020-03-12,3.0325481378229737,5.027549014324939,,5.710611312696981,,,,,,10.704060527839234,4.124009718398936,,10.704060527839234,,,6.6765115135143045,,,,,,,,,,,,,,,,,
2020-03-13,6.292925874880707,5.876293719755023,5.710611312696976,5.993449215142258,,10.704060527839234,,,,,5.710611312696981,,10.704060527839234,6.6765115135143045,,,,,,,,,,,,,,,,,,,
2020-03-14,5.411134652958544,2.920815701188787,5.275343093716548,3.5525017951153632,3.809389736470118,,,,10.704060527839234,,5.993449215142258,,,,,5.027549014324933,,,,,,,,,,,,,,,,,
2020-03-15,6.676511513514297,5.027549014324938,5.391205823970588,5.027549014324932,2.2181592778548183,,10.704060527839234,20.408121055678468,,8.834621031095919,4.673099702544873,,,,10.704060527839234,4.124009718398938,26.08463256919277,,,,,,,,,,,,,,,,
