,Bogota,Valle del Cauca,Antioquia,Bolivar,Huila,Meta,Risaralda,Norte de Santander,Caldas,Cundinamarca,Atlantico,Santander,Quindio,Tolima,Cauca,Magdalena,Cesar,San Andres y Providencia,Casanare,Nariño,Boyaca,Cordoba,Sucre,La Guajira,Choco,Amazonas,Caqueta,Putumayo,Arauca,Vaupes,Guainia,Vichada,Guaviare
2020-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-02,,7.469373685226157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-05,11.253714694235692,6.126857347117846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-06,9.73507682554076,4.95405668180695,,8.510710258025801,7.469373685226157,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-07,5.276023415412724,4.234686842613078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-08,4.234686842613077,4.954056681806951,8.510710258025803,,5.276023415412725,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-09,3.662542672848861,4.8578333415275186,6.618539753521037,,6.126857347117848,,,,,,8.510710258025801,,,,,,,,,,,,,,,,,,,,,,
2020-03-10,4.5358666079217445,4.784341009009537,6.846227186311718,,5.720804254499576,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-11,4.362548722157613,3.5153170034192094,,6.846227186311718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-12,4.9829525429639165,4.517601744423111,,5.276023415412725,,,,,,10.080914028924795,6.846227186311718,,,,,7.469373685226157,,,,,,,,,,,,,,,,,
2020-03-13,4.912202888554071,4.608219478422917,7.2300049780842555,5.0855207743182005,,,,,,,5.276023415412725,,8.510710258025801,7.469373685226157,,,,,,,,,,,,,,,,,,,
2020-03-14,6.126857347117846,4.608219478422917,5.459053410128038,4.857833341527518,5.085520774318203,,,,,,5.459053410128038,,,,,5.276023415412725,,,,,,,,,,,,,,,,,
2020-03-15,5.673426521000823,3.9517719408030487,4.709672749392812,4.46237427540376,2.7160489739181504,,,,,9.73507682554076,4.857833341527518,,,,,4.23468684261308,,,,,,,,,,,,,,,,,
2020-03-16,5.424972229264815,4.113467906064531,4.35590577916163,4.608219478422915,3.0314843325366154,,,10.080914028924795,9.361544189730923,8.019027851622612,3.7430044362098873,,6.846227186311718,6.126857347117846,,3.6115403436986413,11.253714694235692,,,,,,,,,,,,,,,,
